539,539,483
604,604,1133
598,598,1728
607,607,2340
539,539,-55
604,604,530
598,598,1131
607,607,1734
604,604,539
598,598,1143
607,607,1741
604,604,539
598,598,1143
539,539,0
607,607,1741
539,539,0
604,604,539
598,598,1143
607,607,1741
604,604,539
607,607,1741
598,598,1143
539,539,0
604,604,539
598,598,1143
539,539,0
607,607,1741
604,604,539
539,539,0
598,598,1143
607,607,1741
604,604,539
539,539,0
598,598,1143
607,607,1741
604,604,539
598,598,1143
539,539,0
607,607,1741
604,604,539
539,539,0
598,598,1143
607,607,1741
539,539,0
604,604,539
598,598,1143
607,607,1741
598,598,1143
539,539,0
604,604,539
607,607,1741
539,539,0
604,604,539
598,598,1143
607,607,1741
604,604,539
539,539,0
598,598,1143
607,607,1741
604,604,539
539,539,0
598,598,1143
607,607,1741
604,604,539
607,607,1741
539,539,0
598,598,1143
539,539,0
604,604,539
598,598,1143
607,607,1741
604,604,539
598,598,1143
607,607,1741
539,539,0
604,604,539
598,598,1143
539,539,0
607,607,1741
604,604,539
539,539,0
607,607,1741
598,598,1143
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
604,604,539
539,539,0
598,598,1143
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
607,607,1741
604,604,539
539,539,0
600,600,1143
607,607,1743
600,600,1143
604,604,539
539,539,0
607,607,1743
539,539,0
604,604,539
600,600,1143
607,607,1743
539,539,0
604,604,539
600,600,1143
607,607,1743
604,604,539
539,539,0
600,600,1143
607,607,1743
539,539,0
604,604,539
600,600,1143
607,607,1743
604,604,539
539,539,0
607,607,1743
600,600,1143
539,539,0
604,604,539
600,600,1143
607,607,1743
607,607,1743
604,604,539
600,600,1143
539,539,0
