0,46
1,46
2,47
3,48
4,48
5,48
6,48
7,48
8,47
9,47
10,47
11,47
12,48
13,48
14,48
15,48
16,48
17,48
18,47
19,48
20,48
21,48
22,49
23,50
24,50
25,50
26,50
27,50
28,50
29,50
30,50
31,50
32,51
33,52
34,51
35,53
36,51
37,51
38,53
39,52
40,52
41,53
42,53
43,53
44,53
45,53
46,54
47,58
48,57
49,56
50,59
51,59
52,59
53,59
54,59
55,59
56,70
57,59
58,59
59,62
60,64
61,64
62,65
63,66
64,66
65,67
66,64
67,64
68,64
69,64
70,64
71,64
72,64
73,64
74,67
75,68
76,68
77,67
78,67
79,69
80,69
81,69
82,69
83,69
84,121
85,72
86,71
87,77
88,72
89,72
90,72
91,72
92,69
93,72
94,70
95,70
96,69
97,66
98,73
99,65
100,59
101,68
102,68
103,64
104,64
105,68
106,63
107,62
108,59
109,59
110,59
111,59
112,59
113,59
114,59
115,59
116,59
117,59
118,63
119,58
120,59
121,59
122,58
123,58
124,57
125,57
126,57
127,56
128,57
129,55
130,55
131,55
132,55
133,55
134,55
135,55
136,55
137,52
138,52
139,53
140,52
141,52
142,52
143,51
144,51
145,50
146,50
147,51
148,51
149,51
150,50
151,52
152,50
153,50
154,50
155,49
156,49
157,50
158,50
159,49
160,50
161,49
162,49
163,49
164,49
165,49
166,48
167,48
168,48
169,48
170,48
171,48
172,48
173,48
174,48
175,48
176,47
177,47
178,47
179,47
180,48
181,48
182,48
